,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
430,430,2.1532579,18.0,150,0.1,2048
431,431,2.1647007,18.0,150,0.1,2048
432,432,2.1734009,18.0,150,0.1,2048
433,433,2.1823379000000003,18.0,150,0.1,2048
434,434,2.1914309000000003,18.0,150,0.1,2048
435,435,2.1994662,18.0,150,0.1,2048
436,436,2.2076057000000002,18.0,150,0.1,2048
437,437,2.2169209,16.0,150,0.2,2048
438,438,2.2255818000000005,16.0,150,0.2,2048
439,439,2.2336944,16.0,150,0.2,2048
440,440,2.2417905000000005,16.0,150,0.2,2048
441,441,0.00037479999999945335,17.0,150,0.2,2048
442,442,0.010534700000000008,19.0,150,0.2,2048
443,443,0.033753400000000156,15.0,150,0.3,2048
444,444,0.05669419999999992,17.0,150,0.3,2048
445,445,0.06499719999999964,17.0,150,0.3,2048
446,446,0.08858189999999944,18.0,150,0.3,2048
447,447,0.10146090000000019,18.0,150,0.3,2048
448,448,0.00033309999999975304,18.0,150,0.3,2048
449,449,0.015564900000000215,18.0,150,0.3,2048
450,450,0.05076910000000012,18.0,150,0.3,2048
451,451,0.08309910000000009,19.0,150,0.3,2048
452,452,0.09674460000000007,15.0,150,0.4,2048
453,453,0.12694160000000032,16.0,150,0.4,2048
454,454,0.13991720000000019,18.0,150,0.4,2048
455,455,0.152984,18.0,150,0.4,2048
456,456,0.16283650000000005,18.0,150,0.4,2048
457,457,0.1855329000000001,18.0,150,0.4,2048
458,458,0.0004639000000006277,19.0,150,0.4,2048
459,459,0.010920800000000064,15.0,200,0.01,2048
460,460,0.03435220000000072,16.0,200,0.01,2048
461,461,0.059993700000000594,16.0,200,0.01,2048
462,462,0.08012029999999992,17.0,200,0.01,2048
463,463,0.11537489999999995,18.0,200,0.01,2048
464,464,0.12466620000000006,18.0,200,0.01,2048
465,465,0.13781100000000013,18.0,200,0.01,2048
466,466,0.00047290000000010934,18.0,200,0.01,2048
467,467,0.020047100000000206,19.0,200,0.01,2048
468,468,0.06265330000000002,15.0,200,0.02,2048
469,469,0.10944250000000011,16.0,200,0.02,2048
470,470,0.12700659999999964,17.0,200,0.02,2048
471,471,0.17001419999999978,17.0,200,0.02,2048
472,472,0.19180399999999942,17.0,200,0.02,2048
473,473,0.20737249999999996,18.0,200,0.02,2048
474,474,0.22428369999999997,18.0,200,0.02,2048
475,475,0.2684255999999996,18.0,200,0.02,2048
476,476,0.00032480000000045806,18.0,200,0.02,2048
477,477,0.018869399999999814,19.0,200,0.02,2048
478,478,0.04448659999999993,15.0,200,0.03,2048
479,479,0.07720959999999977,16.0,200,0.03,2048
480,480,0.0908768999999996,17.0,200,0.03,2048
481,481,0.12191080000000021,17.0,200,0.03,2048
482,482,0.13958859999999973,17.0,200,0.03,2048
483,483,0.15580899999999964,17.0,200,0.03,2048
484,484,0.16768430000000034,18.0,200,0.03,2048
485,485,0.20617350000000023,18.0,200,0.03,2048
486,486,0.22285549999999965,18.0,200,0.03,2048
487,487,0.00044449999999951473,18.0,200,0.03,2048
488,488,0.017002500000000254,19.0,200,0.03,2048
489,489,0.0435913999999995,15.0,200,0.1,2048
490,490,0.07214030000000005,16.0,200,0.1,2048
491,491,0.08625900000000009,18.0,200,0.1,2048
492,492,0.1144109000000002,18.0,200,0.1,2048
493,493,0.12595340000000022,18.0,200,0.1,2048
494,494,0.1382766000000002,18.0,200,0.1,2048
495,495,0.15021789999999946,18.0,200,0.1,2048
496,496,0.18613199999999974,19.0,200,0.1,2048
497,497,0.1980272000000003,15.0,200,0.2,2048
498,498,0.2096277999999998,17.0,200,0.2,2048
499,499,0.00046560000000006596,17.0,200,0.2,2048
500,500,0.020305200000000134,18.0,200,0.2,2048
501,501,0.056084000000000245,18.0,200,0.2,2048
502,502,0.09498730000000055,19.0,200,0.2,2048
503,503,0.11305410000000027,15.0,200,0.3,2048
504,504,0.15137,15.0,200,0.3,2048
505,505,0.1630319,17.0,200,0.3,2048
506,506,0.17439300000000024,17.0,200,0.3,2048
507,507,0.1857723,17.0,200,0.3,2048
508,508,0.0005476999999993737,17.0,200,0.3,2048
509,509,0.018342999999999776,18.0,200,0.3,2048
510,510,0.06324649999999998,18.0,200,0.3,2048
511,511,0.09914660000000008,18.0,200,0.3,2048
512,512,0.11179830000000024,18.0,200,0.3,2048
513,513,0.13947419999999955,18.0,200,0.3,2048
514,514,0.15506889999999984,18.0,200,0.3,2048
515,515,0.0004144999999997623,18.0,200,0.3,2048
516,516,0.015639099999999573,18.0,200,0.3,2048
517,517,0.05008709999999983,18.0,200,0.3,2048
518,518,0.07959720000000026,18.0,200,0.3,2048
519,519,0.09894059999999971,18.0,200,0.3,2048
520,520,0.13849990000000023,18.0,200,0.3,2048
521,521,0.1563175999999995,18.0,200,0.3,2048
522,522,0.1740712000000002,18.0,200,0.3,2048
523,523,0.18787920000000025,18.0,200,0.3,2048
524,524,0.23158549999999956,18.0,200,0.3,2048
525,525,0.2526497000000001,18.0,200,0.3,2048
526,526,0.27478849999999966,18.0,200,0.3,2048
527,527,0.297987,18.0,200,0.3,2048
528,528,0.3219403999999999,18.0,200,0.3,2048
529,529,0.34687809999999963,18.0,200,0.3,2048
530,530,0.37395279999999964,18.0,200,0.3,2048
531,531,0.39519530000000014,18.0,200,0.3,2048
532,532,0.4464562999999995,18.0,200,0.3,2048
533,533,0.4692476999999995,18.0,200,0.3,2048
534,534,0.48682479999999995,18.0,200,0.3,2048
535,535,0.5055667000000001,18.0,200,0.3,2048
536,536,0.5206989000000002,18.0,200,0.3,2048
537,537,0.5343048999999995,18.0,200,0.3,2048
538,538,0.5477924999999999,18.0,200,0.3,2048
539,539,0.5612934999999997,18.0,200,0.3,2048
540,540,0.574999,18.0,200,0.3,2048
541,541,0.5927576999999999,18.0,200,0.3,2048
542,542,0.6101627000000001,18.0,200,0.3,2048
543,543,0.6294050000000002,18.0,200,0.3,2048
544,544,0.6487375000000002,18.0,200,0.3,2048
545,545,0.6664817999999997,18.0,200,0.3,2048
546,546,0.6855682999999999,18.0,200,0.3,2048
547,547,0.7039222999999994,18.0,200,0.3,2048
548,548,0.7415237000000001,18.0,200,0.3,2048
549,549,0.7593068999999995,18.0,200,0.3,2048
550,550,0.7736397999999998,18.0,200,0.3,2048
551,551,0.7870374,18.0,200,0.3,2048
552,552,0.7989882999999995,18.0,200,0.3,2048
553,553,0.8109748999999997,18.0,200,0.3,2048
554,554,0.8227218000000001,18.0,200,0.3,2048
555,555,0.8343784999999997,18.0,200,0.3,2048
556,556,0.8459928999999997,18.0,200,0.3,2048
